col,dtype,n,pct,nuniq,sample
abnormalbody,float64,2359,15.2,6,"['0.0', '1.0', '2.0', '3.0', '4.0', '5.0']"
How old were you when you first experienced interest in abnormal body/body part-related things? (si89mua),str,1704,11.0,10,"['0-4yo', '11-12yo', '13-14yo', '15-16yo', '17-18yo', '19-25yo']"
For Which of the following categories of abnormal body states do you find erotic?,str,1665,10.7,982,"['Animal body parts', 'Extremely huge body parts', 'Extremely huge body parts,Extremely small body parts', 'Extremely huge body parts,Extremely small "
"Of these options, which one is the most erotic? (i73h77l)",str,568,3.7,15,"['Amputation', 'Branding', 'Burning (e.g., cigarettes)', 'Crushing (live creatures, e.g. mice)', 'Cutting', 'Drowning']"
Totalbodypartsabnormal,float64,1665,10.7,18,"['1.0', '10.0', '11.0', '12.0', '13.0', '14.0']"
Which body parts are most erotic when giant/oversized?,str,654,4.2,375,"['Arms', 'Arms,Hands', 'Belly', 'Belly,Butt,Anus', 'Belly,Butt,Penis,Legs,Arms', 'Belly,Butt,Penis,Legs,Feet,Arms,Hands']"
Which body parts are most erotic when extremely small?,str,152,1.0,113,"['Anus', 'Belly,Anus', 'Belly,Clitoris,Penis', 'Belly,Feet,Arms', 'Belly,Hips,Butt', 'Belly,Hips,Butt,Penis,Testicles,Anus,Feet,Hands']"
genderswapped,float64,1702,11.0,6,"['0.0', '1.0', '2.0', '3.0', '4.0', '5.0']"
For Which of the following categories of genderswapped body states do you find erotic?,str,884,5.7,50,"['Men with a vagina', 'Men with a vagina,Men with both a penis and vagina', 'Men with a vagina,Men with both a penis and vagina,Women with a penis', '"
"""It's most erotic when the altered body is"" (wdflfgk)",float64,1702,11.0,97,"['0.0', '1.0', '10.0', '100.0', '11.0', '13.0']"
How old were you when you first experienced interest in age-related sexual interests? (489pmk6),str,4141,26.7,10,"['0-4yo', '11-12yo', '13-14yo', '15-16yo', '17-18yo', '19-25yo']"
agegap,float64,4141,26.7,6,"['0.0', '1.0', '2.0', '3.0', '4.0', '5.0']"
older,float64,4141,26.7,6,"['0.0', '1.0', '2.0', '3.0', '4.0', '5.0']"
progression,float64,4140,26.7,6,"['0.0', '1.0', '2.0', '3.0', '4.0', '5.0']"
regression,float64,4140,26.7,6,"['0.0', '1.0', '2.0', '3.0', '4.0', '5.0']"
cgl,float64,4140,26.7,6,"['0.0', '1.0', '2.0', '3.0', '4.0', '5.0']"
brutality,float64,849,5.5,6,"['0.0', '1.0', '2.0', '3.0', '4.0', '5.0']"
How old were you when you first experienced interest in brutality-related sexual interests? (5rsjhm2),str,809,5.2,10,"['0-4yo', '11-12yo', '13-14yo', '15-16yo', '17-18yo', '19-25yo']"
"For parent/child incest fantasies, which are your preferred pairings",str,1562,10.1,125,"['Father and daughter', 'Father and daughter,Father and daughter/son together', 'Father and daughter,Father and son', 'Father and daughter,Father and "
Totalincest3,float64,1562,10.1,8,"['1.0', '2.0', '3.0', '4.0', '5.0', '6.0']"
gratification,float64,810,5.2,6,"['0.0', '1.0', '2.0', '3.0', '4.0', '5.0']"
badends,float64,810,5.2,6,"['0.0', '1.0', '2.0', '3.0', '4.0', '5.0']"
Which of the following do you find erotic? (ovb55gx),str,380,2.5,239,"['Amputation', 'Amputation,Branding', 'Amputation,Branding,Burning (e.g., cigarettes),Crushing (live creatures, e.g. mice),Cutting,Drowning,Execution,"
"Of these options, which one is the most erotic? (i73h77n)",str,503,3.2,9,"['Body horror (e.g., human centipede, mutations)', 'Cannibalism/meatslaves', 'Creepy characters (e.g., clowns)', 'Living insertions (live creatures in"
Totalbrutal2,float64,677,4.4,16,"['1.0', '10.0', '11.0', '12.0', '13.0', '14.0']"
humiliation,float64,3548,22.9,6,"['0.0', '1.0', '2.0', '3.0', '4.0', '5.0']"
How old were you when you first experienced interest in humiliation related sexual interests? (jebtk3s),str,3424,22.1,10,"['0-4yo', '11-12yo', '13-14yo', '15-16yo', '17-18yo', '19-25yo']"
"In general, you find it most erotic when the subject of humiliation is:",str,3423,22.1,2,"['Me', 'Someone else']"
"Of these options, which one is the most erotic? (35jn7el)",str,2776,17.9,10,"['Amnesia', 'Brainwashing', 'Dronification', 'Drugs', 'Drunkenness', 'Hypnotism']"
humiliation2most,str,3271,21.1,21,"['Castration', 'Cuckoldry', 'Defilement (to corrupt, dirty, violate)', 'Facesitting', 'Flaccid play', 'Forced consumption of desireable things']"
Totalhumiliation2,float64,3400,21.9,21,"['1.0', '10.0', '11.0', '12.0', '13.0', '14.0']"
How old were you when you first experienced sexual interest in mental alteration? (nesc17f),str,2933,18.9,10,"['0-4yo', '11-12yo', '13-14yo', '15-16yo', '17-18yo', '19-25yo']"
You prefer it when the mentally altered person is:,str,2932,18.9,3,"['Both', 'Me', 'Other people']"
Which of the following types of mental alteration do you find erotic?,str,2915,18.8,317,"['Amnesia', 'Amnesia,Drunkenness', 'Amnesia,Drunkenness,Drugs', 'Brainwashing', 'Brainwashing,Dronification', 'Brainwashing,Dronification,Amnesia,Drun"
"Of these options, which one is the most erotic? (35jn7en)",str,3588,23.1,20,"['Aliens', 'Angels', 'Cartoons', 'Demons', 'Dinosaurs', 'Dragons']"
mentalalteration2most,str,2777,17.9,10,"['Amnesia', 'Brainwashing', 'Dronification', 'Drugs', 'Drunkenness', 'Hypnotism']"
Totalmentalalteration2,float64,2916,18.8,10,"['1.0', '10.0', '2.0', '3.0', '4.0', '5.0']"
"In erotic scenarios involving nonconsent, you generally prefer when the nonconsenting person is:",str,5468,35.3,2,"['Me', 'Someone else']"
vore,float64,606,3.9,6,"['0.0', '1.0', '2.0', '3.0', '4.0', '5.0']"
How old were you when you first experienced interest in vore related sexual interests? (58x0gp5),str,512,3.3,10,"['0-4yo', '11-12yo', '13-14yo', '15-16yo', '17-18yo', '19-25yo']"
What kind of vore do you find erotic?,str,470,3.0,39,"['Cranial vore (eating only the head)', 'Cranial vore (eating only the head),Mouthplay (not swallowed, just in mouth)', 'Hard vore (chewing, person di"
You find vore in which orifices to be erotic?,str,481,3.1,57,"['Anal', 'Anal,Vaginal (unbirth)', 'Breast', 'Breast,Anal', 'Breast,Anal,Vaginal (unbirth)', 'Breast,Vaginal (unbirth)']"
bestiality,float64,1519,9.8,6,"['0.0', '1.0', '2.0', '3.0', '4.0', '5.0']"
How old were you when you first experienced interest in bestiality/creatures-related sexual interests? (w3xlgsv),str,1318,8.5,10,"['0-4yo', '11-12yo', '13-14yo', '15-16yo', '17-18yo', '19-25yo']"
penetration,float64,1318,8.5,6,"['0.0', '1.0', '2.0', '3.0', '4.0', '5.0']"
penetration2,float64,1317,8.5,6,"['0.0', '1.0', '2.0', '3.0', '4.0', '5.0']"
oralsexanimal,float64,1316,8.5,6,"['0.0', '1.0', '2.0', '3.0', '4.0', '5.0']"
oralsexanimal2,float64,1315,8.5,6,"['0.0', '1.0', '2.0', '3.0', '4.0', '5.0']"
"Of these options, which one is the most erotic? (i73h77i)",str,2564,16.5,14,"['Belches', 'Blood (menstrual)', 'Blood (normal)', 'Breast milk', 'Cum (male ejaculate)', 'Farts']"
Totalanimals,float64,1260,8.1,10,"['1.0', '10.0', '2.0', '3.0', '4.0', '5.0']"
"When it comes to bestiality, which of the following creatures do you find erotic?",str,1260,8.1,236,"['Amphibians,Foxes', 'Bears', 'Bears,Horses', 'Bears,Lions,More not listed here', 'Birds', 'Birds,Reptiles,Foxes,More/other']"
animals2,str,453,2.9,175,"['[""Amphibians"",""Birds"",""Foxes"",""More/other""]', '[""Amphibians"",""Dolphins/whales"",""Reptiles"",""Foxes"",""More/other""]', '[""Amphibians"",""Foxes""]', '[""Birds"
"Of these options, which one is the most erotic? (i73h77j)",str,1543,10.0,18,"['Animal body parts', 'Extremely huge body parts', 'Extremely small body parts', 'Fangs', 'Horns', 'Impossibly severe obesity']"
Totalanimals2,float64,428,2.8,12,"['1.0', '10.0', '11.0', '12.0', '2.0', '3.0']"
Which of the following do you find erotic? (ymvkzuu),str,2881,18.6,2225,"['Animal-esque clothing (e.g., cat ears),Boots', 'Animal-esque clothing (e.g., cat ears),Boots,Bras,Briefs,Dresses,Miniskirts,Panties,Pants,Skirts,Soc"
"For blood (menstrual), which of the following do you find erotic?",str,278,1.8,104,"['Bleeding myself', 'Bleeding myself,Others bleeding', 'Bleeding myself,Others bleeding,Others playing with it (e.g., smearing)', ""Bleeding myself,Oth"
sadomasochism,float64,5217,33.7,6,"['0.0', '1.0', '2.0', '3.0', '4.0', '5.0']"
How old were you when you first experienced sexual interest in sadomasochism? (zh8c32k),str,5119,33.0,10,"['0-4yo', '11-12yo', '13-14yo', '15-16yo', '17-18yo', '19-25yo']"
receivepain,float64,5120,33.0,6,"['0.0', '1.0', '2.0', '3.0', '4.0', '5.0']"
givepain,float64,5120,33.0,6,"['0.0', '1.0', '2.0', '3.0', '4.0', '5.0']"
spanking,float64,5120,33.0,6,"['0.0', '1.0', '2.0', '3.0', '4.0', '5.0']"
How important is it that the pain is also sexually gratifying to the recipient? (b31aufk),str,5120,33.0,5,"['Actively prefer ungrafitying pain', 'Moderately important', 'Not important', 'Slightly important', 'Very important']"
"""I find psychological pain/torture to be:"" (9hy7wy3)",float64,5120,33.0,6,"['0.0', '1.0', '2.0', '3.0', '4.0', '5.0']"
"Which of the following types of sadomasochism do you find erotic?""",str,5034,32.5,1931,"['Biting/scratching/scrapes', 'Biting/scratching/scrapes,Breaking skin (needles, cutting, etc.)', 'Biting/scratching/scrapes,Breaking skin (needles, c"
"Of these options, which one is the most erotic? (35jn7f2)",str,8056,52.0,21,"['Anal beads', 'Anal dildos (huge)', 'Anal dildos (normal)', 'Anal hooks', 'Buttplugs', 'Double ended dildos']"
Totalsadomasochism1,float64,5034,32.5,17,"['1.0', '10.0', '11.0', '12.0', '13.0', '14.0']"
"""Scenarios where pain is given to genitals are arousing to me"" (bobe874)",float64,5119,33.0,6,"['0.0', '1.0', '2.0', '3.0', '4.0', '5.0']"
"""In general, I prefer scenarios where the intensity of the pain is:"" (m73c3q1)",str,5119,33.0,7,"['Equally mild and severe', 'Moderately mild', 'Moderately severe', 'Slightly mild', 'Slightly severe', 'Very mild']"
"""In general, I prefer scenarios where receiver of the pain is:"" (8r5zld8)",str,5119,33.0,6,"['Moderately eager/wants it', ""Moderately upset/doesn't want it"", 'Slightly eager/wants it', ""Slightly upset/doesn't want it"", 'Very eager/wants it', "
creepy,float64,687,4.4,6,"['0.0', '1.0', '2.0', '3.0', '4.0', '5.0']"
How old were you when you first experienced interest in creepy/horror related sexual interests? (y9cxruq),str,633,4.1,10,"['0-4yo', '11-12yo', '13-14yo', '15-16yo', '17-18yo', '19-25yo']"
Which of the following do you find erotic? (afadhb),str,366,2.4,117,"['Body horror (e.g., human centipede, mutations)', 'Body horror (e.g., human centipede, mutations),Living insertions (live creatures in orifices)', 'B"
"Of these options, which one is the most erotic? (i73h77p)",str,217,1.4,7,"['Bodily fluids (vomit, poop, etc.)', 'Dirtiness (trash, rotting, etc.)', 'Dirty locations (alleys, bathrooms, etc.)', 'Disease (STDs, infections, etc"
Totalcreep2,float64,609,3.9,9,"['1.0', '2.0', '3.0', '4.0', '5.0', '6.0']"
dirty,float64,487,3.1,6,"['0.0', '1.0', '2.0', '3.0', '4.0', '5.0']"
How old were you when you first experienced interest in dirtiness related sexual interests? (l7wbfjh),str,403,2.6,10,"['0-4yo', '11-12yo', '13-14yo', '15-16yo', '17-18yo', '19-25yo']"
Which of the following disgust-oriented things do you find erotic?,str,362,2.3,64,"['Bodily fluids (vomit, poop, etc.)', 'Bodily fluids (vomit, poop, etc.),Dirtiness (trash, rotting, etc.)', 'Bodily fluids (vomit, poop, etc.),Dirtine"
"Of these options, which one is the most erotic? (35jn7eh)",str,1901,12.3,11,"['Acting like the opposite gender', 'Androgyny', 'Crossdressing (nonpassing, people can tell)', ""Crossdressing (passably; people can't tell)"", 'Detran"
Totaldirty2,float64,362,2.3,7,"['1.0', '2.0', '3.0', '4.0', '5.0', '6.0']"
Which of the following do you find erotic? (yftwuzf),str,6491,41.9,397,"['Accidental arousal (e.g., riding a bike)', 'Accidental arousal (e.g., riding a bike),Eager service (e.g., giving foot massages)', 'Accidental arousa"
My erotic fantasies involving toys typically involve ____ using the toys,str,8341,53.8,5,"['Me and the other person equally', 'Mostly me', 'Mostly the other person', 'Totally me', 'Totally the other person']"
The type of erotic content you prefer tends to be more (2y636ej),str,14190,91.5,5,"['Entirely animated/drawn', 'Entirely live action vid/photos', 'Equal/even split', 'Mostly animated/drawn', 'Mostly live action vid/photos']"
The type of erotic content you prefer tends to be: (f98tjn5),str,14188,91.5,5,"['Entirely visual', 'Entirely written', 'Equally written and visual', 'Mostly visual', 'Mostly written']"
"""If my partner is aroused by something, I can also be aroused by it, even if I don't normally find it erotic"" (j5yb5lu)",float64,15502,100.0,7,"['-1.0', '-2.0', '-3.0', '0.0', '1.0', '2.0']"
"If you tried very hard, could you stop being aroused by something you're into? (7lgg41e)",str,15502,100.0,5,"['Impossible', 'With a lot of effort, yes', 'With an extreme amount of effort, maybe', 'With little effort, yes', 'With some effort, yes']"
totalfetishcategory,float64,15503,100.0,31,"['0.0', '1.0', '10.0', '11.0', '12.0', '13.0']"
"In erotic scenarios involving age gaps, I prefer to be ____ (6njm5tr)",str,3564,23.0,2,"['Older', 'Younger']"
"""I find {bodypartsmost}:"" (xw7vr7a)",float64,5492,35.4,6,"['0.0', '1.0', '2.0', '3.0', '4.0', '5.0']"
"Which of the following do you find erotic, in the context of humiliation?",str,3398,21.9,2392,"['Castration', 'Castration,Cuckoldry,Defilement (to corrupt, dirty, violate),Facesitting,Flaccid play,Forced consumption of desireable things,Humiliat"
Which of the following do you find erotic? (46pfeif),str,5007,32.3,2745,"['Behavioral restrictions (e.g. limits on speech)', 'Behavioral restrictions (e.g. limits on speech),Bootblacking (polishing shoes submissively),Breat"
Which of the following messiness do you find erotic?,str,125,0.8,81,"['Liquid food (milk, ketchup, etc.),Lotion/lubricant,Mud,Paint,Oil', 'Liquid food (milk, ketchup, etc.),Mud', 'Liquid food (milk, ketchup, etc.),Norma"
"Of these options, which one is the most erotic? (35jn7em)",str,5814,37.5,19,"['Bukkake', 'Cheating', 'Circle jerks', 'Cuckolding', 'Dogging (sex with strangers in public)', 'Double penetration']"
"For grandparent/grandchild incest fantasies, which is your preferred pairing",str,239,1.5,49,"['Grandfather and granddaughter', 'Grandfather and granddaughter,Grandfather and granddaughter/grandson together', 'Grandfather and granddaughter,Gran"
Which of the following drugs are erotic in sexual situations?,str,1330,8.6,119,"['Aphrodesiacs (arousal drugs)', 'Aphrodesiacs (arousal drugs),Cocaine', 'Aphrodesiacs (arousal drugs),Ecstasy', 'Aphrodesiacs (arousal drugs),Ecstasy"
Which of the following nonconsent scenarios do you find erotic?,str,5415,34.9,2522,"['Abductions/kidnappings', 'Abductions/kidnappings,Body control (directly controlling a body, e.g. voodoo)', 'Abductions/kidnappings,Body control (dir"
"For scat (poop), which of the following do you find erotic?",str,225,1.5,111,"['Consuming it myself', 'Consuming it myself,Making scat myself', 'Consuming it myself,Making scat myself,Others making scat', 'Consuming it myself,Ma"
"For blood (normal), which of the following do you find erotic?",str,561,3.6,133,"['Bleeding myself', 'Bleeding myself,Huge amounts of blood', 'Bleeding myself,Others bleeding', 'Bleeding myself,Others bleeding,Huge amounts of blood"
"When it comes to necrophilia, it's most erotic when your role is:",str,269,1.7,3,"['Both', 'Not the dead body', 'The dead body']"
"When it comes to necrophilia, you generally prefer fantasies where the dead body is:",str,269,1.7,2,"['New/fresh', 'Old/rotting']"
"For vomit, which of the following do you find erotic?",str,120,0.8,61,"['Consuming it myself', ""Consuming it myself,Others consuming it,Others vomiting,Others playing with it (e.g., smearing),Putting vomit into others' or"
Which body parts are most erotic when extremely huge?,str,532,3.4,302,"['Anus', 'Belly', 'Belly,Butt', 'Belly,Butt,Penis,Testicles,Anus', 'Belly,Butt,Testicles', 'Belly,Clitoris']"
"For animal transformations, you prefer when the final result is ____? (yta91wx)",float64,681,4.4,99,"['0.0', '1.0', '10.0', '100.0', '11.0', '12.0']"
"For animal transformations, which of the following are the most erotic to you?",str,661,4.3,377,"['Bears/lions,Wolves', 'Bears/lions,Wolves,Amphibians,Foxes', 'Bears/lions,Wolves,Birds,Foxes', 'Bears/lions,Wolves,Birds,Reptiles', 'Bears/lions,Wolv"
Totaltransform2,float64,661,4.3,18,"['1.0', '10.0', '11.0', '12.0', '13.0', '14.0']"
"For smegma, which of the following do you find erotic?",str,108,0.7,76,"['Consuming it myself,Making smegma myself,Others making smegma,Playing with it myself (e.g., smearing),Putting smegma into my orifices', 'Consuming i"
How honest were you when answering this survey? (g1vao1y),str,15500,100.0,2,"['Mostly honest', 'Totally honest']"
Which of the following do you find erotic? (npcvctu),str,2386,15.4,1585,"['Aliens', 'Aliens,Angels,Cartoons,Demons,Dinosaurs,Dragons,Elves/fae,Hentai characters,Ghosts,Jesus,My Little Pony characters,Orcs/ogres/golems,Robot"
"""I find cunnilingus:"" (jn2b355)",float64,15502,100.0,6,"['-1.0', '-2.0', '-3.0', '-5.0', '-8.0', '0.0']"
"""I find blowjobs:"" (yuc275j)",float64,15502,100.0,6,"['-1.0', '-2.0', '-3.0', '-5.0', '-8.0', '0.0']"
"""I find anal sex (with a penis or penile toy):"" (jhvha2f)",float64,15500,100.0,6,"['0.0', '1.0', '2.0', '3.0', '4.0', '5.0']"
normalsex,float64,15503,100.0,6,"['-1.0', '-2.0', '-3.0', '-5.0', '-8.0', '0.0']"
"In general, it's most erotic when _____ wears the clothing you find erotic (eowvxbs)",str,8096,52.2,3,"['Both', 'Other people', 'Yourself']"
"""I find scenarios where I eagerly beg others to be:"" (jvrbyep)",float64,11632,75.0,6,"['0.0', '1.0', '2.0', '3.0', '4.0', '5.0']"
"""I find scenarios where others eagerly beg me to be:"" (stmm5eg)",float64,11632,75.0,6,"['0.0', '1.0', '2.0', '3.0', '4.0', '5.0']"
marriage100blood,float64,2398,15.5,101,"['0.0', '1.0', '10.0', '100.0', '11.0', '12.0']"
Which of the following do you find erotic? (w1qo1g1),str,2316,14.9,264,"['Chain mail', 'Chain mail,Other', 'Denim', 'Denim,Chain mail,Wetlook', 'Denim,Other', 'Denim,Wetlook']"
Which of the following do you find erotic? (5j281rq),str,2273,14.7,206,"['Cameltoe', 'Cameltoe,Clothes stained with bodily fluids', 'Cameltoe,Clothes stained with bodily fluids,Shirtcocking,Wedgies,Tearing clothing', 'Came"
"Of these options, which one is the most erotic? (35jn7eg)",str,10388,67.0,9,"['Accidental arousal (e.g., riding a bike)', 'Eager service (e.g., giving foot massages)', 'Heat/rutting (in the way animals ""go into heat"")', 'Intent"
Which of the following do you find erotic? (lfolao),str,5045,32.5,2673,"['Anal beads', 'Anal beads,Anal dildos (huge),Anal hooks,Buttplugs', 'Anal beads,Anal dildos (huge),Anal hooks,Buttplugs,Double ended dildos,Fuck mach"
appearance,float64,10210,65.9,6,"['0.0', '1.0', '2.0', '3.0', '4.0', '5.0']"
How old were you when you first experienced interest in your appearance-based sexual interests? (6qqg60a),str,10032,64.7,10,"['0-4yo', '11-12yo', '13-14yo', '15-16yo', '17-18yo', '19-25yo']"
Which of the following body weights do you find most erotic? (1jq57nf),str,10033,64.7,6,"['Average', 'Obese', 'Overweight', 'Slightly chubby', 'Slightly skinny', 'Very skinny']"
ascore,float64,10034,64.7,11,"['0.0', '155.0', '176.0', '210.0', '22.0', '236.0']"
Which of the following body modifications do you find significantly erotic?,str,9249,59.7,568,"['Breast implants', 'Breast implants,Facial piercings', 'Breast implants,Facial piercings,Other', 'Breast implants,Genital piercings,Nipple piercings'"
Which of the following body types do you find significantly erotic?,str,8315,53.6,53,"['Hermaphrodites', 'Hermaphrodites,Deformed people', 'Ugly people', 'Ugly people,Deformed people', 'Very flexible people', 'Very flexible people,Defor"
You're more sexually attracted to people whose gender identity ____ match their genitals (5b30vz2),str,15487,99.9,5,"['Does match (cis)', 'Does not match (trans/enby)', 'Equally attracted to both', 'Slightly does match (cis)', 'Slightly does not match (trans/enby)']"
How much of the porn or erotica you watch is violent? (joz3g52),str,14182,91.5,5,"['A little bit', 'A moderate amount', 'All of it', 'Most of it', 'None of it']"
At what age did you begin watching porn or reading erotic content at least semiregularly? (ugf1hyy),str,14181,91.5,9,"['11-12yo', '13-14yo', '15-16yo', '17-18yo', '19-25yo', '26yo+']"
Which of the following do you find erotic? (32snt5e),str,1655,10.7,703,"['Airplanes/cars', 'Airplanes/cars,Buildings', 'Airplanes/cars,Buildings,Chains', 'Airplanes/cars,Buildings,Chains,Clothing,Condoms (unused),Condoms ("
"When it comes to body horror, which of the following are erotic?",str,135,0.9,89,"['Body combinations (joined with another person)', 'Body combinations (joined with another person),Body swaps (e.g. limbs replaced with other things)'"
Totalbodyhorror,float64,135,0.9,10,"['1.0', '10.0', '2.0', '3.0', '4.0', '5.0']"
"For male ejaculate, which of the following do you find erotic?",str,1604,10.3,336,"['Consuming it myself', 'Consuming it myself,Ejaculating myself', 'Consuming it myself,Ejaculating myself,Huge amounts of ejaculate', 'Consuming it my"
"""I am aroused by being dominant in sexual interactions"" (6w3xquw)",float64,14987,96.7,7,"['-1.0', '-2.0', '-3.0', '0.0', '1.0', '2.0']"
"""I am aroused by being submissive in sexual interactions"" (xem7hbu)",float64,14987,96.7,7,"['-1.0', '-2.0', '-3.0', '0.0', '1.0', '2.0']"
Do you get mood-based PMS symptoms during your menstrual cycle?,str,3365,21.7,5,"[""I don't menstruate/I don't know"", 'No', 'Yes, maybe/slightly', 'Yes, moderately', 'Yes, severely']"
supernatural,float64,9126,58.9,7,"['-1.0', '-2.0', '-3.0', '0.0', '1.0', '2.0']"
"""I've experienced a lot of sexual harrassment"" (3knd12d)",float64,7582,48.9,7,"['-1.0', '-2.0', '-3.0', '0.0', '1.0', '2.0']"
Which of the following do you find erotic? (26qr0sp),str,3472,22.4,7,"['Clothing items (shoes, chokers, diapers, etc.)', 'Clothing items (shoes, chokers, diapers, etc.),Clothing materials (latex, leather, etc.)', 'Clothi"
Which of the following do you find erotic? (yf0rmix),str,2190,14.1,1751,"['Animal-esque clothing (e.g., cat ears)', 'Animal-esque clothing (e.g., cat ears),Boots,Bras,Briefs,Dresses,Fishnets,Glasses,Miniskirts,Panties,Pants"
Which of the following do you find erotic? (wddo7ee),str,296,1.9,213,"['Amputation', 'Amputation,Branding,Burning (e.g., cigarettes)', 'Amputation,Branding,Burning (e.g., cigarettes),Crushing (live creatures, e.g. mice),"
Which of the following do you find erotic? (zewlx2),str,243,1.6,105,"['Body horror (e.g., human centipede, mutations)', 'Body horror (e.g., human centipede, mutations),Living insertions (live creatures in orifices)', 'C"
Which of the following do you find erotic? (mfc7eve),str,4805,31.0,388,"['Accidental arousal (e.g., riding a bike)', 'Accidental arousal (e.g., riding a bike),Eager service (e.g., giving foot massages)', 'Accidental arousa"
Which of the following do you find erotic? (twppkp3),str,383,2.5,119,"['Acting like the opposite gender', 'Acting like the opposite gender,Sissification (degredation by feminization)', 'Acting like the opposite gender,Tr"
Which of the following do you find erotic? (u661iml),str,3701,23.9,253,"['Affection', 'Affection,Caretaker/caretakee dynamics', 'Affection,Energy work', 'Affection,Romance', 'Affection,Romance,Caretaker/caretakee dynamics'"
Which of the following do you find erotic? (9kmxhci),str,1322,8.5,1045,"['Aliens', 'Aliens,Angels,Cartoons,Demons,Dinosaurs,Dragons,Elves/fae,Ghosts,Jesus,Orcs/ogres/golems,Robots/cyborgs,Slime/goo people,Superhero/villain"
Which of the following do you find erotic? (fnwke2d),str,3593,23.2,2247,"['Behavioral restrictions (e.g. limits on speech)', 'Behavioral restrictions (e.g. limits on speech),Bootblacking (polishing shoes submissively),Breat"
Which of the following do you find erotic? (g5qw0tc),str,3228,20.8,2033,"['Anal beads', 'Anal beads,Anal dildos (huge),Anal hooks,Buttplugs,Double ended dildos,Fuck machines,Pumps (breast),Pumps (penis),Pumps (pussy),Remote"
Which of the following do you find erotic? (m66m8ix),str,1719,11.1,240,"['Chain mail', 'Chain mail,Other', 'Chain mail,Wetlook,Other', 'Denim', 'Denim,Chain mail', 'Denim,Other']"
Which of the following do you find erotic? (rhb3fup),str,1095,7.1,529,"['Airplanes/cars', 'Airplanes/cars,Buildings', 'Airplanes/cars,Buildings,Chains,Clothing', 'Airplanes/cars,Buildings,Chains,Clothing,Condoms (unused),"
Which of the following do you find erotic? (3hof3bj),str,2342,15.1,1727,"['Bukkake', 'Bukkake,Cheating,Cuckolding,Dogging (sex with strangers in public),Freeuse (society where people casually have sex with anyone),Gang bang"
Which of the following do you find erotic? (5mhacm7),str,1891,12.2,215,"['Cameltoe', 'Cameltoe,Clothes stained with bodily fluids', 'Cameltoe,Clothes stained with bodily fluids,Shirtcocking,Tearing clothing', 'Cameltoe,Clo"
Which of the following do you find erotic? (xhe2co5),str,1330,8.6,171,"['""Popular kids""', '""Popular kids"",Punks/goths', '""Popular kids"",Punks/goths,Stoners', '""Popular kids"",Punks/goths,Theater people', '""Popular kids"",St"
Which of the following do you find erotic? (uju0gwc),str,1057,6.8,229,"['Asians', 'Asians,Black people', 'Asians,Black people,Caucasians', 'Asians,Black people,Caucasians,East asians', 'Asians,Black people,Caucasians,East"
"""I find personal freeuse dynamics, arrangements where one partner can sexually ""use"" the other without asking or negotiating, to be erotic"" (kspot4h)",float64,6462,41.7,7,"['-1.0', '-2.0', '-3.0', '0.0', '1.0', '2.0']"
Can you have vaginal orgasms *without* clitoral stimulation? (hy7nsai),str,2413,15.6,3,"['No', 'Rarely/with great effort', 'Yes, sometimes/often']"
"""In general, casual sexual hookups have been a ___ experience for me"" (ytp3gfm)",str,2644,17.1,6,"[""I haven't hooked up"", 'Kinda bad', 'Kinda good', 'Neutral', 'Really bad', 'Really good']"
"""In general, when my romantic relationships end, who initiates the breakup?"" (y33ksrt)",str,2642,17.0,4,"['Equally them and me', 'I do', ""I haven't had a relationship end"", 'The other person does']"
"""I usually don't leave romantic relationships unless there's a very serious violation"" (b7gzhvz)",str,2643,17.0,6,"['Agree', 'Disagree', ""I haven't had a relationship end"", 'Neutral', 'Strongly agree', 'Strongly disagree']"
Getting catcalled on the street (or the thought of getting catcalled) feels more: (3qh0yh8),str,5639,36.4,5,"['A bit negative', 'A bit positive', 'Awesome', 'Awful', 'Neutral']"
You find raceplay to be: (fkk3ykn),float64,1881,12.1,6,"['0.0', '1.0', '2.0', '3.0', '5.0', '8.0']"
Are you on hormonal birth control? This is the pill or any hormonal implant (pbj1u8c),str,1542,9.9,3,"[""Don't want to answer"", 'No', 'Yes']"
Which of the following do you find erotic? (a1m9v6u),str,712,4.6,187,"['Acting like the opposite gender', 'Acting like the opposite gender,Androgyny', 'Acting like the opposite gender,Drag Queens', 'Acting like the oppos"
"Where are you currently at in your menstrual cycle? Options are based on a typical 28 day cycle, but cycle length can change (7ok2l1v)",str,1415,9.1,8,"['Am currently pregnant', 'Currently on period (week 1)', 'Currently ovulating', ""Don't want to answer or don't know"", ""N/A (irregular or don't get pe"
"When I picture myself with a nude male body, I find this: (dl5zw4l)",float64,1214,7.8,6,"['0.0', '1.0', '2.0', '3.0', '5.0', '8.0']"
"When I picture myself as having a nude female body, I find this: (yqi5pre)",float64,1899,12.2,6,"['0.0', '1.0', '2.0', '3.0', '5.0', '8.0']"
"When I picture my own nude female breasts, buttocks, legs, or genitals, I find this: (qkw5ssz)",float64,914,5.9,6,"['0.0', '1.0', '2.0', '3.0', '5.0', '8.0']"
The thought of someone else admiring me while I am a woman in the nude is: (yf7onjn),float64,909,5.9,6,"['0.0', '1.0', '2.0', '3.0', '5.0', '8.0']"
"When I picture my own nude male buttocks, legs, or genitals, I find this: (f77m7qu)",float64,490,3.2,6,"['0.0', '1.0', '2.0', '3.0', '5.0', '8.0']"
