item_id,qi,col,option,n,n_respondents,rate
51::Insects/arachnids,51,"When it comes to bestiality, which of the following creatures do you find erotic?",Insects/arachnids,57,1260,0.045
51::Lions,51,"When it comes to bestiality, which of the following creatures do you find erotic?",Lions,118,1260,0.094
51::Monkeys,51,"When it comes to bestiality, which of the following creatures do you find erotic?",Monkeys,63,1260,0.05
51::More not listed here,51,"When it comes to bestiality, which of the following creatures do you find erotic?",More not listed here,209,1260,0.166
51::More/other,51,"When it comes to bestiality, which of the following creatures do you find erotic?",More/other,154,1260,0.122
51::Octopi/squid,51,"When it comes to bestiality, which of the following creatures do you find erotic?",Octopi/squid,149,1260,0.118
51::Parasites/leeches,51,"When it comes to bestiality, which of the following creatures do you find erotic?",Parasites/leeches,47,1260,0.037
51::Pigs,51,"When it comes to bestiality, which of the following creatures do you find erotic?",Pigs,118,1260,0.094
51::Reptiles,51,"When it comes to bestiality, which of the following creatures do you find erotic?",Reptiles,79,1260,0.063
51::Rodents,51,"When it comes to bestiality, which of the following creatures do you find erotic?",Rodents,20,1260,0.016
51::Sheep,51,"When it comes to bestiality, which of the following creatures do you find erotic?",Sheep,56,1260,0.044
51::Slugs/snails/worms,51,"When it comes to bestiality, which of the following creatures do you find erotic?",Slugs/snails/worms,37,1260,0.029
"53::Animal-esque clothing (e.g., cat ears)",53,Which of the following do you find erotic? (ymvkzuu),"Animal-esque clothing (e.g., cat ears)",829,2881,0.288
53::Boots,53,Which of the following do you find erotic? (ymvkzuu),Boots,1272,2881,0.442
53::Bras,53,Which of the following do you find erotic? (ymvkzuu),Bras,2142,2881,0.743
53::Briefs,53,Which of the following do you find erotic? (ymvkzuu),Briefs,682,2881,0.237
53::Chokers,53,Which of the following do you find erotic? (ymvkzuu),Chokers,2015,2881,0.699
53::Corsets,53,Which of the following do you find erotic? (ymvkzuu),Corsets,1791,2881,0.622
53::Diapers,53,Which of the following do you find erotic? (ymvkzuu),Diapers,96,2881,0.033
53::Dresses,53,Which of the following do you find erotic? (ymvkzuu),Dresses,1887,2881,0.655
53::Fishnets,53,Which of the following do you find erotic? (ymvkzuu),Fishnets,1994,2881,0.692
53::Glasses,53,Which of the following do you find erotic? (ymvkzuu),Glasses,1510,2881,0.524
53::Gloves,53,Which of the following do you find erotic? (ymvkzuu),Gloves,688,2881,0.239
53::Lingerie,53,Which of the following do you find erotic? (ymvkzuu),Lingerie,2408,2881,0.836
53::Miniskirts,53,Which of the following do you find erotic? (ymvkzuu),Miniskirts,2215,2881,0.769
53::Other,53,Which of the following do you find erotic? (ymvkzuu),Other,546,2881,0.19
53::Panties,53,Which of the following do you find erotic? (ymvkzuu),Panties,2260,2881,0.784
53::Pants,53,Which of the following do you find erotic? (ymvkzuu),Pants,635,2881,0.22
53::Shoes (high heel),53,Which of the following do you find erotic? (ymvkzuu),Shoes (high heel),1295,2881,0.449
53::Shoes (non high heel),53,Which of the following do you find erotic? (ymvkzuu),Shoes (non high heel),382,2881,0.133
53::Skirts,53,Which of the following do you find erotic? (ymvkzuu),Skirts,2087,2881,0.724
53::Socks/stockings,53,Which of the following do you find erotic? (ymvkzuu),Socks/stockings,1953,2881,0.678
53::Suspenders,53,Which of the following do you find erotic? (ymvkzuu),Suspenders,657,2881,0.228
53::Thongs,53,Which of the following do you find erotic? (ymvkzuu),Thongs,2007,2881,0.697
55::Biting/scratching/scrapes,55,"Which of the following types of sadomasochism do you find erotic?""",Biting/scratching/scrapes,4102,5034,0.815
"55::Breaking skin (needles, cutting, etc.)",55,"Which of the following types of sadomasochism do you find erotic?""","Breaking skin (needles, cutting, etc.)",956,5034,0.19
"55::Burning (figging, hot wax, fireplay etc.)",55,"Which of the following types of sadomasochism do you find erotic?""","Burning (figging, hot wax, fireplay etc.)",1721,5034,0.342
55::Clamping/pinching,55,"Which of the following types of sadomasochism do you find erotic?""",Clamping/pinching,2686,5034,0.534
"55::Discomfort (punishment ties, achey knees, etc.)",55,"Which of the following types of sadomasochism do you find erotic?""","Discomfort (punishment ties, achey knees, etc.)",1924,5034,0.382
55::Electricity/tingling,55,"Which of the following types of sadomasochism do you find erotic?""",Electricity/tingling,1076,5034,0.214
"55::Impact: stingy (e.g. riding crop, belt)",55,"Which of the following types of sadomasochism do you find erotic?""","Impact: stingy (e.g. riding crop, belt)",2263,5034,0.45
"55::Impact: thuddy (e.g., paddle, flogger, fist)",55,"Which of the following types of sadomasochism do you find erotic?""","Impact: thuddy (e.g., paddle, flogger, fist)",2438,5034,0.484
55::Pumps,55,"Which of the following types of sadomasochism do you find erotic?""",Pumps,836,5034,0.166
55::Punching,55,"Which of the following types of sadomasochism do you find erotic?""",Punching,484,5034,0.096
"55::Sexual exhaustion (e.g., long sex until raw, then continuing)",55,"Which of the following types of sadomasochism do you find erotic?""","Sexual exhaustion (e.g., long sex until raw, then continuing)",3160,5034,0.628
"55::Sharp (wartenberg wheels, getting poked, etc.)",55,"Which of the following types of sadomasochism do you find erotic?""","Sharp (wartenberg wheels, getting poked, etc.)",375,5034,0.074
55::Slapping,55,"Which of the following types of sadomasochism do you find erotic?""",Slapping,3426,5034,0.681
55::Sounding,55,"Which of the following types of sadomasochism do you find erotic?""",Sounding,262,5034,0.052
"55::Squeezing/compression (stepping on balls, heavy weight, etc.)",55,"Which of the following types of sadomasochism do you find erotic?""","Squeezing/compression (stepping on balls, heavy weight, etc.)",626,5034,0.124
"55::Stinging (insects, nettles, etc.)",55,"Which of the following types of sadomasochism do you find erotic?""","Stinging (insects, nettles, etc.)",169,5034,0.034
"55::Stretching (e.g., huge insertions)",55,"Which of the following types of sadomasochism do you find erotic?""","Stretching (e.g., huge insertions)",1538,5034,0.306
"61::Accidental arousal (e.g., riding a bike)",61,Which of the following do you find erotic? (yftwuzf),"Accidental arousal (e.g., riding a bike)",3353,6491,0.517
"61::Eager service (e.g., giving foot massages)",61,Which of the following do you find erotic? (yftwuzf),"Eager service (e.g., giving foot massages)",2800,6491,0.431
"61::Heat/rutting (in the way animals ""go into heat"")",61,Which of the following do you find erotic? (yftwuzf),"Heat/rutting (in the way animals ""go into heat"")",2055,6491,0.317
61::Intentionally revealing clothing,61,Which of the following do you find erotic? (yftwuzf),Intentionally revealing clothing,4832,6491,0.744
61::Streaking,61,Which of the following do you find erotic? (yftwuzf),Streaking,749,6491,0.115
61::Strip teases,61,Which of the following do you find erotic? (yftwuzf),Strip teases,4343,6491,0.669
61::Trying to get impregnated,61,Which of the following do you find erotic? (yftwuzf),Trying to get impregnated,2354,6491,0.363
61::Worshipping female body parts,61,Which of the following do you find erotic? (yftwuzf),Worshipping female body parts,3219,6491,0.496
61::Worshipping male body parts,61,Which of the following do you find erotic? (yftwuzf),Worshipping male body parts,2233,6491,0.344
62::Castration,62,"Which of the following do you find erotic, in the context of humiliation?",Castration,191,3398,0.056
62::Cuckoldry,62,"Which of the following do you find erotic, in the context of humiliation?",Cuckoldry,1201,3398,0.353
"62::Defilement (to corrupt, dirty, violate)",62,"Which of the following do you find erotic, in the context of humiliation?","Defilement (to corrupt, dirty, violate)",1382,3398,0.407
62::Facesitting,62,"Which of the following do you find erotic, in the context of humiliation?",Facesitting,1822,3398,0.536
62::Flaccid play,62,"Which of the following do you find erotic, in the context of humiliation?",Flaccid play,516,3398,0.152
62::Forced consumption of desireable things,62,"Which of the following do you find erotic, in the context of humiliation?",Forced consumption of desireable things,947,3398,0.279
62::Forced consumption of undesireable things,62,"Which of the following do you find erotic, in the context of humiliation?",Forced consumption of undesireable things,561,3398,0.165
62::Humiliation for sexual inexperience,62,"Which of the following do you find erotic, in the context of humiliation?",Humiliation for sexual inexperience,1584,3398,0.466
62::Humiliation for sluttiness,62,"Which of the following do you find erotic, in the context of humiliation?",Humiliation for sluttiness,2469,3398,0.727
62::Impotence,62,"Which of the following do you find erotic, in the context of humiliation?",Impotence,363,3398,0.107
62::Insults,62,"Which of the following do you find erotic, in the context of humiliation?",Insults,1880,3398,0.553
62::Objectification,62,"Which of the following do you find erotic, in the context of humiliation?",Objectification,2053,3398,0.604
62::Other body part humiliation,62,"Which of the following do you find erotic, in the context of humiliation?",Other body part humiliation,368,3398,0.108
62::Photography/videography,62,"Which of the following do you find erotic, in the context of humiliation?",Photography/videography,1381,3398,0.406
62::Public humiliation,62,"Which of the following do you find erotic, in the context of humiliation?",Public humiliation,1091,3398,0.321
62::Religious humiliation,62,"Which of the following do you find erotic, in the context of humiliation?",Religious humiliation,251,3398,0.074
62::Scat,62,"Which of the following do you find erotic, in the context of humiliation?",Scat,169,3398,0.05
62::Small penis humiliation,62,"Which of the following do you find erotic, in the context of humiliation?",Small penis humiliation,559,3398,0.165
62::Urine,62,"Which of the following do you find erotic, in the context of humiliation?",Urine,762,3398,0.224
62::Verbal degredation,62,"Which of the following do you find erotic, in the context of humiliation?",Verbal degredation,2193,3398,0.645
62::Writing on bodies,62,"Which of the following do you find erotic, in the context of humiliation?",Writing on bodies,1293,3398,0.381
63::Behavioral restrictions (e.g. limits on speech),63,Which of the following do you find erotic? (46pfeif),Behavioral restrictions (e.g. limits on speech),1276,5007,0.255
63::Bootblacking (polishing shoes submissively),63,Which of the following do you find erotic? (46pfeif),Bootblacking (polishing shoes submissively),252,5007,0.05
"63::Breath play (choking, asphyxiation)",63,Which of the following do you find erotic? (46pfeif),"Breath play (choking, asphyxiation)",3655,5007,0.73
63::Disempowerment (stripping power away from a powerful person),63,Which of the following do you find erotic? (46pfeif),Disempowerment (stripping power away from a powerful person),1437,5007,0.287
63::Financial domination,63,Which of the following do you find erotic? (46pfeif),Financial domination,462,5007,0.092
63::Internal Enslavement (behavioral restrictions are internally imposed/fully trained),63,Which of the following do you find erotic? (46pfeif),Internal Enslavement (behavioral restrictions are internally imposed/fully trained),653,5007,0.13
"63::Marking as property (e.g., branding, collars)",63,Which of the following do you find erotic? (46pfeif),"Marking as property (e.g., branding, collars)",2173,5007,0.434
63::Orgasm denial,63,Which of the following do you find erotic? (46pfeif),Orgasm denial,3150,5007,0.629
63::Orgasm overload,63,Which of the following do you find erotic? (46pfeif),Orgasm overload,3628,5007,0.725
63::Ownership,63,Which of the following do you find erotic? (46pfeif),Ownership,2103,5007,0.42
63::Petplay (master/pet roleplay),63,Which of the following do you find erotic? (46pfeif),Petplay (master/pet roleplay),1402,5007,0.28
"63::Physical struggle/overpowering (e.g., pinning)",63,Which of the following do you find erotic? (46pfeif),"Physical struggle/overpowering (e.g., pinning)",3499,5007,0.699
"63::Powerbottoming (enthusiastic submissive, often queer)",63,Which of the following do you find erotic? (46pfeif),"Powerbottoming (enthusiastic submissive, often queer)",1275,5007,0.255
63::Service/utility submission (performing service tasks),63,Which of the following do you find erotic? (46pfeif),Service/utility submission (performing service tasks),1122,5007,0.224
63::Sexual education,63,Which of the following do you find erotic? (46pfeif),Sexual education,1085,5007,0.217
"63::Sexual training (e.g., to give deeper blowjobs)",63,Which of the following do you find erotic? (46pfeif),"Sexual training (e.g., to give deeper blowjobs)",3295,5007,0.658
63::World of femaledom,63,Which of the following do you find erotic? (46pfeif),World of femaledom,803,5007,0.16
63::World of maledom,63,Which of the following do you find erotic? (46pfeif),World of maledom,940,5007,0.188
66::Aphrodesiacs (arousal drugs),66,Which of the following drugs are erotic in sexual situations?,Aphrodesiacs (arousal drugs),1039,1330,0.781
66::Cocaine,66,Which of the following drugs are erotic in sexual situations?,Cocaine,451,1330,0.339
66::Ecstasy,66,Which of the following drugs are erotic in sexual situations?,Ecstasy,654,1330,0.492
66::Heroin,66,Which of the following drugs are erotic in sexual situations?,Heroin,103,1330,0.077
66::Meth,66,Which of the following drugs are erotic in sexual situations?,Meth,115,1330,0.086
66::Poppers,66,Which of the following drugs are erotic in sexual situations?,Poppers,193,1330,0.145
66::Psychedelics,66,Which of the following drugs are erotic in sexual situations?,Psychedelics,687,1330,0.517
66::Roofies,66,Which of the following drugs are erotic in sexual situations?,Roofies,359,1330,0.27
67::Abductions/kidnappings,67,Which of the following nonconsent scenarios do you find erotic?,Abductions/kidnappings,2884,5415,0.533
"67::Body control (directly controlling a body, e.g. voodoo)",67,Which of the following nonconsent scenarios do you find erotic?,"Body control (directly controlling a body, e.g. voodoo)",2230,5415,0.412
67::Coercion/blackmail,67,Which of the following nonconsent scenarios do you find erotic?,Coercion/blackmail,2172,5415,0.401
67::Dub-consensual (unclear consent),67,Which of the following nonconsent scenarios do you find erotic?,Dub-consensual (unclear consent),2464,5415,0.455
67::Forced nudity,67,Which of the following nonconsent scenarios do you find erotic?,Forced nudity,2852,5415,0.527
67::Forced orgasms,67,Which of the following nonconsent scenarios do you find erotic?,Forced orgasms,4061,5415,0.75
67::Frotteurism (e.g. humping in a crowded subway),67,Which of the following nonconsent scenarios do you find erotic?,Frotteurism (e.g. humping in a crowded subway),1485,5415,0.274
67::Inebriation,67,Which of the following nonconsent scenarios do you find erotic?,Inebriation,989,5415,0.183
67::Rapeplay,67,Which of the following nonconsent scenarios do you find erotic?,Rapeplay,3708,5415,0.685
67::Sex trafficking,67,Which of the following nonconsent scenarios do you find erotic?,Sex trafficking,713,5415,0.132
67::Sexual slavery,67,Which of the following nonconsent scenarios do you find erotic?,Sexual slavery,2193,5415,0.405
67::Slave auctions,67,Which of the following nonconsent scenarios do you find erotic?,Slave auctions,763,5415,0.141
67::Stalking,67,Which of the following nonconsent scenarios do you find erotic?,Stalking,1140,5415,0.211
67::Struggling/fighting,67,Which of the following nonconsent scenarios do you find erotic?,Struggling/fighting,3064,5415,0.566
67::Wartime raids,67,Which of the following nonconsent scenarios do you find erotic?,Wartime raids,556,5415,0.103
67::Weapon threats (e.g. gunplay),67,Which of the following nonconsent scenarios do you find erotic?,Weapon threats (e.g. gunplay),1165,5415,0.215
73::Aliens,73,Which of the following do you find erotic? (npcvctu),Aliens,808,2386,0.339
73::Angels,73,Which of the following do you find erotic? (npcvctu),Angels,1090,2386,0.457
73::Cartoons,73,Which of the following do you find erotic? (npcvctu),Cartoons,1188,2386,0.498
73::Demons,73,Which of the following do you find erotic? (npcvctu),Demons,1716,2386,0.719
73::Dinosaurs,73,Which of the following do you find erotic? (npcvctu),Dinosaurs,123,2386,0.052
73::Dragons,73,Which of the following do you find erotic? (npcvctu),Dragons,849,2386,0.356
73::Elves/fae,73,Which of the following do you find erotic? (npcvctu),Elves/fae,1492,2386,0.625
73::Ghosts,73,Which of the following do you find erotic? (npcvctu),Ghosts,614,2386,0.257
73::Hentai characters,73,Which of the following do you find erotic? (npcvctu),Hentai characters,1562,2386,0.655
73::Jesus,73,Which of the following do you find erotic? (npcvctu),Jesus,25,2386,0.01
73::My Little Pony characters,73,Which of the following do you find erotic? (npcvctu),My Little Pony characters,215,2386,0.09
73::Orcs/ogres/golems,73,Which of the following do you find erotic? (npcvctu),Orcs/ogres/golems,514,2386,0.215
73::Robots/cyborgs,73,Which of the following do you find erotic? (npcvctu),Robots/cyborgs,548,2386,0.23
73::Slime/goo people,73,Which of the following do you find erotic? (npcvctu),Slime/goo people,573,2386,0.24
73::Superhero/villain characters,73,Which of the following do you find erotic? (npcvctu),Superhero/villain characters,1336,2386,0.56
73::Undead (zombies),73,Which of the following do you find erotic? (npcvctu),Undead (zombies),184,2386,0.077
73::Unicorns,73,Which of the following do you find erotic? (npcvctu),Unicorns,163,2386,0.068
73::Vampires,73,Which of the following do you find erotic? (npcvctu),Vampires,1637,2386,0.686
73::Video game characters,73,Which of the following do you find erotic? (npcvctu),Video game characters,1452,2386,0.609
73::Werewolves,73,Which of the following do you find erotic? (npcvctu),Werewolves,1217,2386,0.51
74::Chain mail,74,Which of the following do you find erotic? (w1qo1g1),Chain mail,318,2316,0.137
74::Denim,74,Which of the following do you find erotic? (w1qo1g1),Denim,554,2316,0.239
74::Fur,74,Which of the following do you find erotic? (w1qo1g1),Fur,463,2316,0.2
74::Latex/rubber,74,Which of the following do you find erotic? (w1qo1g1),Latex/rubber,1423,2316,0.614
74::Leather,74,Which of the following do you find erotic? (w1qo1g1),Leather,1446,2316,0.624
74::Other,74,Which of the following do you find erotic? (w1qo1g1),Other,374,2316,0.161
74::PVC/vinyl,74,Which of the following do you find erotic? (w1qo1g1),PVC/vinyl,391,2316,0.169
74::Silk,74,Which of the following do you find erotic? (w1qo1g1),Silk,1423,2316,0.614
74::Wetlook,74,Which of the following do you find erotic? (w1qo1g1),Wetlook,875,2316,0.378
75::Cameltoe,75,Which of the following do you find erotic? (5j281rq),Cameltoe,1599,2273,0.703
75::Clothes stained with bodily fluids,75,Which of the following do you find erotic? (5j281rq),Clothes stained with bodily fluids,344,2273,0.151
75::Clothing that's too big,75,Which of the following do you find erotic? (5j281rq),Clothing that's too big,556,2273,0.245
75::Clothing that's too small,75,Which of the following do you find erotic? (5j281rq),Clothing that's too small,1687,2273,0.742
75::Dirty clothes,75,Which of the following do you find erotic? (5j281rq),Dirty clothes,70,2273,0.031
75::Shirtcocking,75,Which of the following do you find erotic? (5j281rq),Shirtcocking,227,2273,0.1
75::Tearing clothing,75,Which of the following do you find erotic? (5j281rq),Tearing clothing,1214,2273,0.534
75::Wardrobe malfunctions,75,Which of the following do you find erotic? (5j281rq),Wardrobe malfunctions,1420,2273,0.625
75::Wedgies,75,Which of the following do you find erotic? (5j281rq),Wedgies,614,2273,0.27
77::Anal beads,77,Which of the following do you find erotic? (lfolao),Anal beads,2102,5045,0.417
77::Anal dildos (huge),77,Which of the following do you find erotic? (lfolao),Anal dildos (huge),879,5045,0.174
77::Anal dildos (normal),77,Which of the following do you find erotic? (lfolao),Anal dildos (normal),2211,5045,0.438
77::Anal hooks,77,Which of the following do you find erotic? (lfolao),Anal hooks,601,5045,0.119
77::Buttplugs,77,Which of the following do you find erotic? (lfolao),Buttplugs,3013,5045,0.597
77::Double ended dildos,77,Which of the following do you find erotic? (lfolao),Double ended dildos,1660,5045,0.329
77::Fuck machines,77,Which of the following do you find erotic? (lfolao),Fuck machines,2559,5045,0.507
77::Pumps (breast),77,Which of the following do you find erotic? (lfolao),Pumps (breast),883,5045,0.175
77::Pumps (penis),77,Which of the following do you find erotic? (lfolao),Pumps (penis),596,5045,0.118
77::Pumps (pussy),77,Which of the following do you find erotic? (lfolao),Pumps (pussy),1022,5045,0.203
77::Remote control toys,77,Which of the following do you find erotic? (lfolao),Remote control toys,3946,5045,0.782
77::Sex swings,77,Which of the following do you find erotic? (lfolao),Sex swings,1936,5045,0.384
77::Showerheads,77,Which of the following do you find erotic? (lfolao),Showerheads,2454,5045,0.486
77::Speculums,77,Which of the following do you find erotic? (lfolao),Speculums,284,5045,0.056
77::Strap-ons,77,Which of the following do you find erotic? (lfolao),Strap-ons,1842,5045,0.365
77::Sybians,77,Which of the following do you find erotic? (lfolao),Sybians,849,5045,0.168
77::TENS/PENS units,77,Which of the following do you find erotic? (lfolao),TENS/PENS units,187,5045,0.037
77::Vaginal dildos (huge),77,Which of the following do you find erotic? (lfolao),Vaginal dildos (huge),1523,5045,0.302
77::Vaginal dildos (normal),77,Which of the following do you find erotic? (lfolao),Vaginal dildos (normal),3882,5045,0.769
77::Vibrators,77,Which of the following do you find erotic? (lfolao),Vibrators,4733,5045,0.938
77::Weights,77,Which of the following do you find erotic? (lfolao),Weights,343,5045,0.068
79::Breast implants,79,Which of the following body modifications do you find significantly erotic?,Breast implants,1345,9249,0.145
79::Facial piercings,79,Which of the following body modifications do you find significantly erotic?,Facial piercings,2978,9249,0.322
79::Gauges,79,Which of the following body modifications do you find significantly erotic?,Gauges,888,9249,0.096
79::Genital piercings,79,Which of the following body modifications do you find significantly erotic?,Genital piercings,1470,9249,0.159
79::Nipple piercings,79,Which of the following body modifications do you find significantly erotic?,Nipple piercings,4433,9249,0.479
79::Other,79,Which of the following body modifications do you find significantly erotic?,Other,1362,9249,0.147
79::Penile implants,79,Which of the following body modifications do you find significantly erotic?,Penile implants,153,9249,0.017
79::Scarification,79,Which of the following body modifications do you find significantly erotic?,Scarification,587,9249,0.063
79::Split tongues,79,Which of the following body modifications do you find significantly erotic?,Split tongues,1101,9249,0.119
79::Tattoos (heavy),79,Which of the following body modifications do you find significantly erotic?,Tattoos (heavy),5431,9249,0.587
79::Tattoos (light),79,Which of the following body modifications do you find significantly erotic?,Tattoos (light),6900,9249,0.746
81::Airplanes/cars,81,Which of the following do you find erotic? (32snt5e),Airplanes/cars,257,1655,0.155
81::Buildings,81,Which of the following do you find erotic? (32snt5e),Buildings,109,1655,0.066
81::Chains,81,Which of the following do you find erotic? (32snt5e),Chains,749,1655,0.453
81::Clothing,81,Which of the following do you find erotic? (32snt5e),Clothing,810,1655,0.489
81::Condoms (unused),81,Which of the following do you find erotic? (32snt5e),Condoms (unused),430,1655,0.26
81::Condoms (used),81,Which of the following do you find erotic? (32snt5e),Condoms (used),281,1655,0.17
81::Dolls,81,Which of the following do you find erotic? (32snt5e),Dolls,111,1655,0.067
81::Food,81,Which of the following do you find erotic? (32snt5e),Food,242,1655,0.146
81::Guns,81,Which of the following do you find erotic? (32snt5e),Guns,299,1655,0.181
81::Hairbrushes/clips/scrunchies,81,Which of the following do you find erotic? (32snt5e),Hairbrushes/clips/scrunchies,448,1655,0.271
"81::Inflatables (e.g., balloons)",81,Which of the following do you find erotic? (32snt5e),"Inflatables (e.g., balloons)",96,1655,0.058
"81::Nature (plants, mushrooms, etc.)",81,Which of the following do you find erotic? (32snt5e),"Nature (plants, mushrooms, etc.)",109,1655,0.066
81::Other,81,Which of the following do you find erotic? (32snt5e),Other,313,1655,0.189
81::Plants,81,Which of the following do you find erotic? (32snt5e),Plants,74,1655,0.045
81::Plushies,81,Which of the following do you find erotic? (32snt5e),Plushies,194,1655,0.117
81::Realdolls,81,Which of the following do you find erotic? (32snt5e),Realdolls,116,1655,0.07
81::Robots,81,Which of the following do you find erotic? (32snt5e),Robots,136,1655,0.082
81::Rope,81,Which of the following do you find erotic? (32snt5e),Rope,1153,1655,0.697
81::Statues/mannequins,81,Which of the following do you find erotic? (32snt5e),Statues/mannequins,135,1655,0.082
83::Consuming it myself,83,"For male ejaculate, which of the following do you find erotic?",Consuming it myself,936,1604,0.584
83::Ejaculating myself,83,"For male ejaculate, which of the following do you find erotic?",Ejaculating myself,718,1604,0.448
83::Huge amounts of ejaculate,83,"For male ejaculate, which of the following do you find erotic?",Huge amounts of ejaculate,996,1604,0.621
83::Others consuming it,83,"For male ejaculate, which of the following do you find erotic?",Others consuming it,810,1604,0.505
83::Others ejaculating,83,"For male ejaculate, which of the following do you find erotic?",Others ejaculating,980,1604,0.611
"83::Others playing with it (e.g., smearing)",83,"For male ejaculate, which of the following do you find erotic?","Others playing with it (e.g., smearing)",762,1604,0.475
"83::Playing with it myself (e.g., smearing)",83,"For male ejaculate, which of the following do you find erotic?","Playing with it myself (e.g., smearing)",720,1604,0.449
83::Putting ejaculate into my orifices,83,"For male ejaculate, which of the following do you find erotic?",Putting ejaculate into my orifices,683,1604,0.426
83::Putting ejaculate into others' orifices,83,"For male ejaculate, which of the following do you find erotic?",Putting ejaculate into others' orifices,604,1604,0.377
"83::Unusual ejaculate (e.g., coloring, thickness)",83,"For male ejaculate, which of the following do you find erotic?","Unusual ejaculate (e.g., coloring, thickness)",152,1604,0.095
"85::Animal-esque clothing (e.g., cat ears)",85,Which of the following do you find erotic? (yf0rmix),"Animal-esque clothing (e.g., cat ears)",634,2190,0.289
85::Boots,85,Which of the following do you find erotic? (yf0rmix),Boots,831,2190,0.379
85::Bras,85,Which of the following do you find erotic? (yf0rmix),Bras,1652,2190,0.754
85::Briefs,85,Which of the following do you find erotic? (yf0rmix),Briefs,417,2190,0.19
85::Chokers,85,Which of the following do you find erotic? (yf0rmix),Chokers,1458,2190,0.666
85::Corsets,85,Which of the following do you find erotic? (yf0rmix),Corsets,1184,2190,0.541
85::Diapers,85,Which of the following do you find erotic? (yf0rmix),Diapers,103,2190,0.047
85::Dresses,85,Which of the following do you find erotic? (yf0rmix),Dresses,1378,2190,0.629
85::Fishnets,85,Which of the following do you find erotic? (yf0rmix),Fishnets,1473,2190,0.673
85::Glasses,85,Which of the following do you find erotic? (yf0rmix),Glasses,1098,2190,0.501
85::Gloves,85,Which of the following do you find erotic? (yf0rmix),Gloves,473,2190,0.216
85::Lingerie,85,Which of the following do you find erotic? (yf0rmix),Lingerie,1804,2190,0.824
85::Miniskirts,85,Which of the following do you find erotic? (yf0rmix),Miniskirts,1760,2190,0.804
85::Other,85,Which of the following do you find erotic? (yf0rmix),Other,397,2190,0.181
85::Panties,85,Which of the following do you find erotic? (yf0rmix),Panties,1748,2190,0.798
85::Pants,85,Which of the following do you find erotic? (yf0rmix),Pants,469,2190,0.214
85::Shoes (high heel),85,Which of the following do you find erotic? (yf0rmix),Shoes (high heel),928,2190,0.424
85::Shoes (non high heel),85,Which of the following do you find erotic? (yf0rmix),Shoes (non high heel),312,2190,0.142
85::Skirts,85,Which of the following do you find erotic? (yf0rmix),Skirts,1606,2190,0.733
85::Socks/stockings,85,Which of the following do you find erotic? (yf0rmix),Socks/stockings,1446,2190,0.66
85::Suspenders,85,Which of the following do you find erotic? (yf0rmix),Suspenders,388,2190,0.177
85::Thongs,85,Which of the following do you find erotic? (yf0rmix),Thongs,1539,2190,0.703
"88::Accidental arousal (e.g., riding a bike)",88,Which of the following do you find erotic? (mfc7eve),"Accidental arousal (e.g., riding a bike)",2343,4805,0.488
"88::Eager service (e.g., giving foot massages)",88,Which of the following do you find erotic? (mfc7eve),"Eager service (e.g., giving foot massages)",2092,4805,0.435
"88::Heat/rutting (in the way animals ""go into heat"")",88,Which of the following do you find erotic? (mfc7eve),"Heat/rutting (in the way animals ""go into heat"")",1625,4805,0.338
88::Intentionally revealing clothing,88,Which of the following do you find erotic? (mfc7eve),Intentionally revealing clothing,3595,4805,0.748
88::Streaking,88,Which of the following do you find erotic? (mfc7eve),Streaking,538,4805,0.112
88::Strip teases,88,Which of the following do you find erotic? (mfc7eve),Strip teases,3081,4805,0.641
88::Trying to get impregnated,88,Which of the following do you find erotic? (mfc7eve),Trying to get impregnated,1874,4805,0.39
88::Worshipping female body parts,88,Which of the following do you find erotic? (mfc7eve),Worshipping female body parts,2567,4805,0.534
88::Worshipping male body parts,88,Which of the following do you find erotic? (mfc7eve),Worshipping male body parts,1654,4805,0.344
90::Affection,90,Which of the following do you find erotic? (u661iml),Affection,3183,3701,0.86
90::Caretaker/caretakee dynamics,90,Which of the following do you find erotic? (u661iml),Caretaker/caretakee dynamics,1448,3701,0.391
90::Clear,90,Which of the following do you find erotic? (u661iml),Clear,2715,3701,0.734
90::Cuddling,90,Which of the following do you find erotic? (u661iml),Cuddling,3215,3701,0.869
90::Energy work,90,Which of the following do you find erotic? (u661iml),Energy work,545,3701,0.147
90::Romance,90,Which of the following do you find erotic? (u661iml),Romance,3245,3701,0.877
90::Sensual healing,90,Which of the following do you find erotic? (u661iml),Sensual healing,1362,3701,0.368
90::Tantra,90,Which of the following do you find erotic? (u661iml),Tantra,392,3701,0.106
90::Therapeutic sexual experiences,90,Which of the following do you find erotic? (u661iml),Therapeutic sexual experiences,1444,3701,0.39
90::enthusiastic consent,90,Which of the following do you find erotic? (u661iml),enthusiastic consent,2715,3701,0.734
91::Aliens,91,Which of the following do you find erotic? (9kmxhci),Aliens,479,1322,0.362
91::Angels,91,Which of the following do you find erotic? (9kmxhci),Angels,581,1322,0.439
91::Cartoons,91,Which of the following do you find erotic? (9kmxhci),Cartoons,653,1322,0.494
91::Demons,91,Which of the following do you find erotic? (9kmxhci),Demons,898,1322,0.679
91::Dinosaurs,91,Which of the following do you find erotic? (9kmxhci),Dinosaurs,89,1322,0.067
91::Dragons,91,Which of the following do you find erotic? (9kmxhci),Dragons,494,1322,0.374
91::Elves/fae,91,Which of the following do you find erotic? (9kmxhci),Elves/fae,808,1322,0.611
